read;ins;del;sub
192;0.0394;0.0591;0.0422
193;0.0531;0.0797;0.0569
194;0.0297;0.0445;0.0318
195;0.0705;0.1057;0.0755
196;0.0512;0.0768;0.0548
197;0.0439;0.0659;0.0471
198;0.026;0.039;0.0278
199;0.0462;0.0694;0.0495
200;0.0152;0.0228;0.0163
201;0.0216;0.0324;0.0231
202;0.0233;0.035;0.025
203;0.0243;0.0364;0.026
204;0.0307;0.046;0.0328
205;0.0306;0.0459;0.0328
206;0.0596;0.0894;0.0638
207;0.0455;0.0683;0.0488
208;0.044;0.066;0.0471
209;0.0524;0.0786;0.0562
210;0.0243;0.0365;0.026
211;0.0403;0.0604;0.0431
212;0.0369;0.0553;0.0395
213;0.0333;0.0499;0.0357
214;0.036;0.0541;0.0386
215;0.0517;0.0775;0.0554
216;0.0316;0.0474;0.0339
217;0.0239;0.0358;0.0256
218;0.0119;0.0179;0.0128
219;0.0258;0.0387;0.0277
220;0.0428;0.0642;0.0459
221;0.0309;0.0463;0.0331
222;0.0259;0.0389;0.0278
223;0.0331;0.0496;0.0354
224;0.0281;0.0421;0.0301
225;0.0509;0.0763;0.0545
226;0.0299;0.0449;0.0321
227;0.0843;0.1265;0.0903
228;0.0373;0.0559;0.0399
229;0.0266;0.0399;0.0285
230;0.0536;0.0803;0.0574
231;0.0303;0.0455;0.0325
232;0.0529;0.0793;0.0566
233;0.0448;0.0672;0.048
234;0.0271;0.0407;0.029
235;0.0379;0.0568;0.0406
236;0.0391;0.0587;0.0419
237;0.0281;0.0422;0.0301
238;0.0237;0.0355;0.0253
239;0.0564;0.0846;0.0604
240;0.0186;0.0279;0.0199
241;0.0384;0.0575;0.0411
242;0.0623;0.0935;0.0668
243;0.0171;0.0256;0.0183
244;0.0235;0.0352;0.0252
245;0.0441;0.0662;0.0473
246;0.027;0.0405;0.029
247;0.0334;0.05;0.0357
248;0.0462;0.0692;0.0495
249;0.0324;0.0485;0.0347
250;0.0771;0.1156;0.0826
251;0.0301;0.0452;0.0323
252;0.0456;0.0685;0.0489
253;0.0343;0.0514;0.0367
254;0.0499;0.0749;0.0535
255;0.0523;0.0785;0.0561
256;0.0226;0.0339;0.0242
257;0.0308;0.0462;0.033
258;0.0604;0.0906;0.0647
259;0.0256;0.0384;0.0274
260;0.0187;0.028;0.02
261;0.0331;0.0496;0.0354
262;0.0424;0.0636;0.0454
263;0.0272;0.0408;0.0291
264;0.0528;0.0792;0.0566
265;0.0418;0.0626;0.0447
266;0.0471;0.0706;0.0504
267;0.0462;0.0693;0.0495
268;0.0201;0.0301;0.0215
269;0.0312;0.0468;0.0334
270;0.0644;0.0966;0.069
271;0.0485;0.0727;0.0519
272;0.0311;0.0467;0.0333
273;0.0654;0.0981;0.0701
274;0.0642;0.0963;0.0688
275;0.0466;0.0699;0.0499
276;0.0471;0.0707;0.0505
277;0.0356;0.0535;0.0382
278;0.0392;0.0588;0.042
279;0.0304;0.0456;0.0326
280;0.0378;0.0567;0.0405
281;0.0301;0.0451;0.0322
282;0.0448;0.0672;0.048
283;0.0266;0.04;0.0285
284;0.0305;0.0457;0.0326
285;0.0244;0.0366;0.0261
286;0.021;0.0316;0.0225
287;0.0496;0.0744;0.0532
288;0.0381;0.0571;0.0408
289;0.0295;0.0443;0.0316
290;0.0431;0.0647;0.0462
291;0.0653;0.0979;0.0699
292;0.0427;0.0641;0.0458
293;0.0222;0.0333;0.0238
294;0.0216;0.0324;0.0231
295;0.0192;0.0288;0.0205
296;0.0242;0.0363;0.0259
297;0.0484;0.0726;0.0519
298;0.0269;0.0404;0.0289
299;0.0723;0.1085;0.0775
300;0.0468;0.0702;0.0501
301;0.0793;0.1189;0.085
302;0.0579;0.0869;0.0621
303;0.0314;0.0471;0.0336
304;0.0188;0.0282;0.0202
305;0.0466;0.0699;0.05
306;0.0478;0.0716;0.0512
307;0.0236;0.0353;0.0252
308;0.0326;0.0489;0.0349
309;0.0315;0.0472;0.0337
310;0.042;0.063;0.045
311;0.0858;0.1287;0.0919
312;0.0477;0.0716;0.0511
313;0.0844;0.1267;0.0905
314;0.0483;0.0725;0.0518
315;0.0383;0.0574;0.041
316;0.0207;0.0311;0.0222
317;0.0238;0.0357;0.0255
318;0.0232;0.0348;0.0248
319;0.0628;0.0943;0.0673
320;0.0373;0.0559;0.04
321;0.0276;0.0413;0.0295
322;0.0381;0.0571;0.0408
323;0.0335;0.0503;0.0359
324;0.0236;0.0354;0.0253
325;0.0222;0.0332;0.0237
326;0.0341;0.0512;0.0365
327;0.0317;0.0475;0.0339
328;0.0339;0.0508;0.0363
329;0.0281;0.0421;0.0301
330;0.0642;0.0962;0.0687
331;0.0285;0.0428;0.0306
332;0.0347;0.052;0.0372
333;0.0235;0.0353;0.0252
334;0.0339;0.0508;0.0363
335;0.0225;0.0337;0.0241
336;0.0257;0.0385;0.0275
337;0.051;0.0765;0.0546
338;0.027;0.0406;0.029
339;0.025;0.0374;0.0267
340;0.0252;0.0378;0.027
341;0.0243;0.0365;0.0261
342;0.0381;0.0572;0.0409
343;0.0277;0.0415;0.0297
344;0.0181;0.0272;0.0194
345;0.0408;0.0611;0.0437
346;0.0278;0.0417;0.0298
347;0.0407;0.061;0.0436
348;0.0577;0.0866;0.0618
349;0.0253;0.038;0.0271
350;0.0371;0.0556;0.0397
351;0.0315;0.0472;0.0337
352;0.0305;0.0457;0.0327
353;0.0452;0.0678;0.0484
354;0.0288;0.0432;0.0309
355;0.0251;0.0377;0.0269
356;0.046;0.069;0.0493
357;0.0578;0.0867;0.0619
358;0.0201;0.0301;0.0215
359;0.0365;0.0548;0.0392
360;0.0361;0.0542;0.0387
361;0.0386;0.0579;0.0414
362;0.0613;0.0919;0.0657
363;0.0208;0.0311;0.0222
364;0.0355;0.0532;0.038
365;0.0375;0.0563;0.0402
366;0.0393;0.0589;0.0421
367;0.037;0.0555;0.0397
368;0.0285;0.0428;0.0306
369;0.0391;0.0587;0.0419
370;0.0192;0.0289;0.0206
371;0.0353;0.0529;0.0378
372;0.0731;0.1097;0.0784
373;0.0173;0.026;0.0185
374;0.0201;0.0301;0.0215
375;0.0255;0.0383;0.0273
376;0.0442;0.0663;0.0473
377;0.0395;0.0592;0.0423
378;0.0433;0.065;0.0464
