read;ins;del;sub
73140;0.0053;0.0083;0.016
73141;0.0045;0.007;0.0136
73142;0.0025;0.0039;0.0075
73143;0.0082;0.0128;0.0247
73144;0.0083;0.0129;0.0249
73145;0.0013;0.0021;0.004
73146;0.0027;0.0042;0.0082
73147;0.0018;0.0028;0.0055
73148;0.004;0.0062;0.012
73149;0.0016;0.0024;0.0047
73150;0.0017;0.0026;0.005
73151;0.0026;0.0041;0.0079
73152;0.0025;0.0038;0.0074
73153;0.0052;0.0081;0.0155
73154;0.0012;0.0019;0.0037
73155;0.0014;0.0022;0.0043
73156;0.0132;0.0206;0.0397
73157;0.0121;0.0188;0.0363
73158;0.0005;0.0008;0.0015
73159;0.0034;0.0053;0.0102
73160;0.0012;0.0018;0.0035
73161;0.0023;0.0036;0.007
73162;0.0014;0.0021;0.0041
73163;0.0006;0.0009;0.0018
73164;0.0009;0.0015;0.0028
73165;0.0087;0.0135;0.0261
73166;0.0097;0.0152;0.0292
73167;0.0023;0.0035;0.0068
73168;0.0025;0.0039;0.0075
73169;0.0024;0.0037;0.0071
73170;0.0024;0.0038;0.0073
73171;0.0019;0.003;0.0057
73172;0.003;0.0047;0.009
73173;0.001;0.0016;0.003
73174;0.0011;0.0017;0.0034
73175;0.0019;0.003;0.0058
73176;0.0053;0.0082;0.0158
73177;0.0025;0.0039;0.0076
73178;0.0011;0.0017;0.0032
73179;0.0013;0.002;0.0039
73180;0.0076;0.0118;0.0228
73181;0.0017;0.0026;0.005
73182;0.0032;0.0049;0.0095
73183;0.0011;0.0016;0.0032
73184;0.0018;0.0028;0.0054
73185;0.0009;0.0015;0.0028
73186;0.003;0.0046;0.0089
73187;0.0045;0.007;0.0135
73188;0.0023;0.0035;0.0068
73189;0.0065;0.0101;0.0195
73190;0.0238;0.0371;0.0715
73191;0.0058;0.009;0.0173
73192;0.0056;0.0087;0.0167
73193;0.0031;0.0048;0.0093
73194;0.0012;0.0019;0.0036
73195;0.0046;0.0072;0.0139
73196;0.0019;0.0029;0.0056
73197;0.0059;0.0091;0.0176
73198;0.0013;0.002;0.0038
73199;0.0027;0.0042;0.0081
73200;0.0025;0.0039;0.0076
73201;0.0006;0.001;0.0019
73202;0.0045;0.0069;0.0134
73203;0.0021;0.0032;0.0062
73204;0.0035;0.0054;0.0104
73205;0.0009;0.0015;0.0028
73206;0.0033;0.0051;0.0099
73207;0.0043;0.0068;0.013
73208;0.0017;0.0026;0.005
73209;0.0024;0.0038;0.0073
73210;0.001;0.0015;0.0029
73211;0.0167;0.026;0.0502
73212;0.0051;0.0079;0.0152
73213;0.0032;0.0049;0.0095
73214;0.0016;0.0024;0.0047
73215;0.002;0.0032;0.0061
73216;0.0013;0.0021;0.004
73217;0.002;0.0031;0.006
73218;0.0102;0.0158;0.0305
73219;0.0044;0.0069;0.0133
73220;0.0023;0.0036;0.0069
73221;0.0059;0.0092;0.0178
73222;0.0033;0.0051;0.0099
73223;0.0033;0.0052;0.01
